;nome;total;rdd;re;pen
SERIE_A;ESMERALDINO;21.48;8.65;0;0
SERIE_A;TIMON;17.53;7.77;0;0
SERIE_A;GRAN_ROYALLE;18.9;9.43;0;0
SERIE_A;PINSHER_10;21.41;12.06;0;0
SERIE_A;ACGTD;20.73;12.46;0;0
SERIE_A;JOSA UNITED;19;11.99;0;0
SERIE_A;SUPER_MARIO;14.92;8.27;0;0
SERIE_A;NUCA_FINA;8.5;4.48;0;0
SERIE_A;PJRC11;4.64;1.65;0;0
SERIE_A;NILTIN_SLR;7.12;4.46;0;0
SERIE_B;VELHO_BUIAS;10.8;4.44;0;0
SERIE_B;PATYMEIRAS;13.45;10.68;0;0
SERIE_B;WR_ATLETICO CLUBE;12.39;5.64;0;0
SERIE_B;DIOGO_BNF;-3.34;-2.1;0;0
SERIE_B;TAC_E.C;16.34;8.89;0;0
SERIE_B;WANTUIR_FC;19.81;8.37;0;0
SERIE_B;BANZE;21.81;13.9;0;0
SERIE_B;EMBAIXADOR;9.13;0.87;0;0
SERIE_B;FURACAO_BMPZN;9.91;5.96;0;0
SERIE_B;GOLD_SOLAR;10.23;9.06;0;0
